cellType	gene
aDC_IRIS_3	SPAG9
aDC_IRIS_3	TMSB10
aDC_IRIS_3	MAP3K13
aDC_IRIS_3	WTAP
aDC_IRIS_3	N4BP1
aDC_IRIS_3	ARHGEF11
aDC_IRIS_3	HS3ST3B1
aDC_IRIS_3	ABI1
aDC_IRIS_3	ARPC4
aDC_IRIS_3	MTHFD2
aDC_IRIS_3	SEC24A
aDC_IRIS_3	NEU3
aDC_IRIS_3	OGFR
aDC_IRIS_3	TFEC
aDC_IRIS_3	FAM175B
aDC_IRIS_3	TDRD7
aDC_IRIS_3	ACOT9
aDC_IRIS_3	NUP62
aDC_IRIS_3	ABTB2
aDC_IRIS_3	TRPC4AP
aDC_IRIS_3	FBXL4
aDC_IRIS_3	CYTH4
aDC_IRIS_3	TOR1B
aDC_IRIS_3	SNX11
aDC_IRIS_3	GPR132
aDC_IRIS_3	IL19
aDC_IRIS_3	CD209
aDC_IRIS_3	CHMP5
aDC_IRIS_3	AZIN1
aDC_IRIS_3	C1orf27
aDC_IRIS_3	ARL8B
aDC_IRIS_3	ZNF654
aDC_IRIS_3	MFN1
aDC_IRIS_3	NECAP2
aDC_IRIS_3	CHFR
aDC_IRIS_3	C5orf15
aDC_IRIS_3	CAMK1G
aDC_IRIS_3	DENND1A
aDC_IRIS_3	GPR107
aDC_IRIS_3	MIIP
aDC_IRIS_3	NSUN3
aDC_IRIS_3	UBE2Z
aDC_IRIS_3	TNIP2
aDC_IRIS_3	SLCO5A1
aDC_IRIS_3	ADPGK
aDC_IRIS_3	DOT1L
aDC_IRIS_3	LILRA5
Adipocytes_ENCODE_1	ADH1B
Adipocytes_ENCODE_1	DLAT
Adipocytes_ENCODE_1	GPD1
Adipocytes_ENCODE_1	LBP
Adipocytes_ENCODE_1	PLIN1
Adipocytes_ENCODE_1	PPP1R1A
Adipocytes_ENCODE_1	PPP2R1B
Adipocytes_ENCODE_1	PTGER3
Adipocytes_ENCODE_1	CILP
Adipocytes_ENCODE_1	ADIPOQ
Adipocytes_ENCODE_1	COL5A3
Adipocytes_ENCODE_1	PNPLA2
Adipocytes_ENCODE_2	ADH1B
Adipocytes_ENCODE_2	ATP5G3
Adipocytes_ENCODE_2	DLAT
Adipocytes_ENCODE_2	GPD1
Adipocytes_ENCODE_2	HADHA
Adipocytes_ENCODE_2	LBP
Adipocytes_ENCODE_2	PLIN1
Adipocytes_ENCODE_2	PPP1R1A
Adipocytes_ENCODE_2	PPP2R1B
Adipocytes_ENCODE_2	PTGER3
Adipocytes_ENCODE_2	CILP
Adipocytes_ENCODE_2	ADIPOQ
Adipocytes_ENCODE_2	COL5A3
Adipocytes_ENCODE_2	PNPLA2
Adipocytes_ENCODE_3	ADH1B
Adipocytes_ENCODE_3	ATP5G3
Adipocytes_ENCODE_3	DBI
Adipocytes_ENCODE_3	DLAT
Adipocytes_ENCODE_3	GPD1
Adipocytes_ENCODE_3	LBP
Adipocytes_ENCODE_3	PLIN1
Adipocytes_ENCODE_3	PPP2R1B
Adipocytes_ENCODE_3	PTGER3
Adipocytes_ENCODE_3	CILP
Adipocytes_ENCODE_3	ADIPOQ
Adipocytes_ENCODE_3	COL5A3
Adipocytes_ENCODE_3	PNPLA2
Adipocytes_FANTOM_1	ADH1B
Adipocytes_FANTOM_1	ATP1A2
Adipocytes_FANTOM_1	GPD1
Adipocytes_FANTOM_1	HP
Adipocytes_FANTOM_1	LBP
Adipocytes_FANTOM_1	PLIN1
Adipocytes_FANTOM_1	TF
Adipocytes_FANTOM_1	ADIPOQ
Adipocytes_FANTOM_2	ADH1B
Adipocytes_FANTOM_2	ATP1A2
Adipocytes_FANTOM_2	GPD1
Adipocytes_FANTOM_2	HP
Adipocytes_FANTOM_2	LBP
Adipocytes_FANTOM_2	PLIN1
Adipocytes_FANTOM_2	TF
Adipocytes_FANTOM_2	ADIPOQ
Adipocytes_FANTOM_3	ADH1B
Adipocytes_FANTOM_3	ATP1A2
Adipocytes_FANTOM_3	C6
Adipocytes_FANTOM_3	GPD1
Adipocytes_FANTOM_3	HP
Adipocytes_FANTOM_3	LBP
Adipocytes_FANTOM_3	PLIN1
Adipocytes_FANTOM_3	TF
Adipocytes_FANTOM_3	ADIPOQ
Adipocytes_HPCA_1	ADH1B
Adipocytes_HPCA_1	ATP5G3
