NAME	MMS AN non-treated	MMS AO Non-treated	MMS AP Non-treated	MMS AR non-irradiated	MMS BA Non- treated  4x44K	MMS BB Non- treated 4x44K	MMS BC1 4x44K (w/o ORGANOIDS digestion)	MMS BE (without organoids)	MMS BF (without organoids)	MMS BL*	MMS E 08/05-08/19	MMS H1 Intact	MMS X Intact Exp1	MMS Z
subtype	not	not	not	not	not	not	CL	CL	not	not	CL	CL	CL	CL
25876	-0.245	0.469	0.285	0.708	0.087	-0.483	-0.101	-0.37	-0.005	-0.386	0.39	0.47	0.316	-0.125
25878	1.2730625	1.68425	1.1965	1.5215	1.2505	1.4785	0.8205	-0.5885	0.2505	1.3235	0.8338125	0.4445	0.9635	0.0555
25879	-0.084	0.298	0.055	-1.081	0.059	0.339	0.269	-0.031	0.239	0.259	-0.646	0.309	0.177	-0.153
2588	0.48125	0.28725	0.49825	0.54625	0.45125	-0.27025	-0.29225	0.29925	0.44925	0.26925	1.64125	0.66875	0.16125	1.50025
25880	-0.323333333	-0.046666667	-0.0375	-0.229	-0.409	-0.369	-0.249	-0.279	-0.439	-0.629	-0.063333333	-0.389	-0.551	-0.389
25884	0.782	0.504	0.82325	2.138	1.102	1.287	1.6255	1.1645	0.275	2.113	0.85575	0.672	0.361	1.4305
25885	0.0476	0.0868	0.0246	0.625285714	-0.061	-0.243	-0.443	-0.111	-0.38	-0.153	0.0934	0.189	-0.094	-0.267
25886	-0.8815	-0.6825	-0.5075	-0.5495	-0.1325	-0.6535	-2.3885	-0.7545	-0.7505	-1.0915	-0.9615	-0.9605	-1.3975	-0.8415
25888	0.3445	0.2305	0.2685	0.0315	0.1515	0.2965	0.4575	0.0495	-0.1405	-0.0545	0.6305	0.0795	0.2295	-0.0385
2589	0.258357143	-0.240071429	-0.305785714	-0.9755	-0.2725	0.7665	1.3745	1.2865	0.4895	1.0165	-0.750357143	0.8745	1.0045	-0.0295
25890	0.917	-0.132	0.305	-0.754	0.142	1.386	4.308	4.806	4.729	4.595	2.401	3.025	5.289	4.485
25891	2.022	1.889	2.275	0.975	1.764	1.315	1.158	1.725	2.027	3.595	1.921	1.135	-0.289	1.765
25893	-0.2405	-0.1665	-0.1645	0.6045	-0.0655	-0.3115	0.0115	-0.2835	-0.3335	-0.4385	-0.4445	-0.3595	-0.4755	-1.0985
25896	-0.178714286	-0.291928571	-0.305642857	-0.181	-0.377	-0.292	-0.38	-0.547	-0.313	-0.445	-0.353785714	0.068	0.121	-0.728
25897	-0.398785714	-0.112642857	0.091071429	0.6615	-0.3705	-1.1775	-1.2895	0.6735	-1.5765	-1.6315	0.571928571	-2.0855	-1.3445	0.2275
259	-0.1965	0.1455	0.2205	0.8085	0.3705	-0.3095	-0.0745	-0.2085	-0.2615	-1.0215	1.4815	0.4615	-0.1325	0.6725
2590	0.5925	0.546785714	0.538142857	1.7875	1.2975	0.8075	0.3875	-0.0625	0.4375	0.7175	0.409142857	0.8875	-0.0985	0.6755
25900	0.26	0.428	-0.094	-0.706	0.367	0.49	1.028	1.764	0.298	0.928	1.73	0.57	1.61	2.008
25901	-0.4125	-0.1315	-0.0695	-0.2235	-0.7585	-0.0345	-0.0455	-0.3675	-0.3445	-0.6635	-0.8825	-0.1915	-0.5105	-1.4495
25902	-0.076	0.866	0.219	0.84	0.76	0.67	1.09	0.63	0.12	0.89	0.22	0.2	0.478	-0.094
25903	1.199	0.892	0.769	1.916	2.443	1.574	1.478	2.231	1.413	2.034	-0.238	1.206	1.639	1.922
25904	-0.115	0.288	0.378	0.874	0.134	0.174	-0.056	0.124	0.004	-0.066	-0.133	-0.126	-0.12	-0.482
25906	-0.213	0.070125	0.039	0.851	0.251	-0.089	-0.259	-0.689	-0.409	-0.029	0.37375	-0.519	-0.217	-0.244
25909	-0.9985	-0.9735	-0.9425	-0.8295	-0.3025	-0.7765	-1.0505	-1.1525	-0.6445	-0.5875	-0.3095	-0.7915	-0.5975	-0.1295
2591	-0.651	-0.296	0.197	0.437	-0.545	-1.811	-1.542	-1.058	-0.563	-1.66	0.955	-1.713	-0.701	-0.095
25911	0.347225	0.124225	0.126225	-0.716775	-0.008775	0.096225	0.090225	0.289225	0.237225	-0.001775	0.148225	0.069225	-0.061775	-0.149775
25912	-0.08575	-0.36425	-0.326	-1.088	-0.201	-0.218	-0.584	-0.434	0.123	-0.292	-0.99	-0.707	-0.326	-0.202
25913	-0.5575	-0.3875	-0.5275	-0.5915	-0.4285	0.0625	-0.1675	0.1095	-0.0985	0.0265	-1.9005	-0.7495	-0.2895	-1.1905
25914	-0.306333333	-0.242166667	-0.308833333	-0.153	0.569	0.151	-1.031	-0.153	-0.234	-0.167	-0.6235	-0.781	-0.514	-1.002
25915	-0.4045	0.4115	0.4585	1.0175	0.2275	-0.2125	-0.0125	-0.0125	0.0175	-0.1425	0.6785	0.1075	0.0985	0.4185
25917	-0.01	-0.467	-0.329	-1.028	0.288	-0.621	-0.094	-0.269	-0.336	-0.359	-0.607	-0.174	0.042	-0.028
259197	-0.316	-0.597	-0.525	-0.486	-0.299	-0.146	0.159	-0.189	-0.17	0.554	0.051	-0.169	-0.14	-0.648
2592	0.2075	0.377125	0.3155	0.5495	0.3175	-0.4225	0.3045	0.2515	-0.3915	-0.3255	0.5605	-0.4615	0.0065	0.6785
25920	0.36625	-0.58975	-0.46275	-1.25975	-1.02775	-0.70825	-0.26775	0.32225	-0.41675	-1.04825	1.47725	0.92475	0.33075	1.50675
25921	0.3095	0.5345	0.6515	1.1655	1.0505	-0.3905	-0.5905	0.0995	0.1295	-0.2285	-0.0285	0.1475	-0.0545	-0.3055
259215	-0.066	0.555	0.173	0.664	0.081	0.319	0.022	-0.351	-0.167	-0.076	-0.286	0.164	0.163	0.31
25923	-0.2735	0.0485	-0.0355	0.1745	-0.1045	-0.6845	-0.4125	-0.9205	-0.6865	-0.4425	-0.8795	-0.7665	-0.5505	-0.8795
259232	-0.056625	0.038875	-0.06475	0.5675	0.3105	0.1725	-0.1305	-0.0795	-0.0145	0.3025	-0.08725	0.1905	0.1865	1.1135
25924	-0.003666667	-0.064666667	0.037	0.416166667	0.0335	-0.0585	0.1305	-0.0255	-0.0605	-0.459777778	-0.184333333	-0.2015	-0.4345	1.2315
25925	1.098	0.882	0.697	0.381	0.336	1.17	1.366	1.279	0.2	1.285	-0.192	2.19	2.302	0.418
25926	0.3685	-0.8045	-0.9945	-1.4675	-0.2175	0.1425	0.2025	0.1825	0.1825	0.2025	-0.9795	-0.1975	0.1445	-0.4435
259266	-2.6395	-2.0965	-2.0465	-1.8865	-1.8865	-2.4065	-2.7565	-3.1165	-3.2265	-2.5865	-2.3535	-2.0365	-3.0845	-2.5845
25928	2.944	1.172	1.952	0.25	2.261	3.009	0.067	-0.121	3.213	3.752	-1.115	0.609	-0.559	-1.425
25929	0.1315	0.0465	0.083125	0.06	-0.335	0.218	0.591	0.338	0.04	0.38	-0.00525	0.48	0.078	-0.728
2593	-0.449	-0.09	0.65	0.517	-0.093	-0.433	-0.113	0.547	0.017	-0.793	0.624	0.217	-0.067	-0.568
25930	0.071	0.079	0.427	1.592	0.333	0.078	0.304	0.275	-0.141	0.055	0.213	0.084	-0.157	1.01
25932	1.042	1.306	1.317	2.019	1.614	0.895	0.615	0.432	0.491	1.258	2.021	0.704	0.069	0.683
25934	-0.0535	-0.2585	-0.2075	-1.0625	-0.0525	0.9975	0.4975	0.5675	0.4475	0.1775	-1.2295	0.4875	0.0675	-0.6785
25936	-0.103875	-0.3135	-0.318375	-0.141	-0.484	-0.553	-0.11	-0.257	-0.51	-0.579	-0.717625	-0.657	-0.513	-0.062
25937	1.007666667	0.745333333	0.825	1.3725	0.7835	1.6645	1.6295	1.9935	1.4605	2.0535	0.457166667	1.6655	1.2755	0.8525
25939	-0.7251	-0.7227	-0.6715	-0.7395	-1.0625	-1.1045	-0.8405	-0.6315	-1.1455	-1.6995	-0.500611111	-0.9085	-0.9705	-1.0415
25941	1.107	0.808	0.765	0.902	0.815	0.145	0.067	0.393	0.173	0.335	-0.643	0.586	0.304	1.062
25942	-0.5065	-0.0165	-0.3625	0.5375	0.0705	0.0675	0.1995	-0.1045	-0.0525	-0.1625	0.5955	0.2355	-0.6155	0.8345
25945	1.17	1.235	0.572	0.239	1.822	1.761	2.195	1.987	1.924	2.495	-0.126	2.098	1.307	0.637
25948	0.5655	0.1425	0.1415	0.4145	0.5455	0.0635	0.1085	-0.3305	0.0735	0.4395	-0.4075	0.1085	0.5865	-0.6155
25949	0.628	0.006	0.009	-1.369	-0.285	0.375	0.487	0.291	0.466	0.246	-0.524	0.408	0.398	0.069
25950	0.6555	-0.3315	-0.0795	-1.2025	-0.2895	0.9185	0.5305	0.3505	0.2775	0.4515	-1.6095	0.1775	0.1375	-0.8685
25953	-0.6675	-0.4435	-0.1365	0.45	0.058	-0.104	0.301	-0.1425	-0.297	-0.1885	-0.0175	-0.3735	-0.2815	-0.179
25956	0.448	-0.344	0.301	-0.228	0.662	0.038	-0.371	-0.148	-0.688	0.232	1.066	-0.666	-0.218	0.778
25957	-0.6766	-0.1798	-0.0786	0.036	-0.007	0.118	-0.094	-0.049	-0.529	-0.485	0.3968	-0.773	-0.892	0.842
25959	0.5565	1.3155	0.9965	0.3305	0.222	-0.268	0.1335	0.5455	0.818	0.2595	1.3695	0.558	0.938	0.937
2596	-0.048	2.143	0.865	2.773	0.9495	1.176	0.5803	4.285	2.559	2.341	2.492	1.369	2.03	1.647
25960	0.951	0.668	0.467	0.134	0.146	0.754	1.348	2.542	3.041	1.587	2.81	2.455	1.118	2.737
25961	-0.147	-0.039	-0.531	-0.312	0.215	-0.496	0.519	0.234	0.066	0.074	0.293	0.186	-0.41	-1.287
25962	-0.033	-0.974	-1.129	-0.397	-0.157	-0.494	-0.477	-0.623	-0.471	0.006	-1.316	-0.343	-0.075	-0.775
25963	-0.581	-0.049	0.021	0.01	-0.045	-0.1	-0.478	-0.681	-0.476	-0.484	0.518	-0.934	-0.731	0.215
25966	0.809525	0.609580556	0.715691667	1.360525	1.941525	0.493525	-0.147475	1.049325	1.795525	0.830525	0.937691667	0.793525	-0.435475	1.250525
2597	0.237166667	0.5055	0.508333333	-0.2675	0.7225	-0.2175	-0.8475	-0.7075	-0.1975	-0.5675	0.379833333	0.4225	-0.4605	2.1065
25972	0.88	-0.315	-0.303	-2.484	-0.367	0.747	0.862	1.088	0.935	0.587	-0.346	0.687	0.703	0.483
25973	-0.328	0.415	0.57	0.789	-0.221	-0.401	-0.36	0.134	-0.483	-0.152	-0.469	0.059	-0.266	-0.111
25975	-0.42825	0.00695	-0.79025	-0.63585	-1.83175	-1.08975	0.26125	-0.02675	-0.69175	0.07625	0.76415	0.96325	2.79925	1.90425
25976	0.4145	-0.6395	-0.4255	-0.1235	-0.7645	0.5375	-0.2155	0.0425	1.1065	0.1075	-1.7565	-0.0545	-1.0735	-1.8375
25977	0.478875	-0.0433125	-0.070125	-0.73	0.4	0.559	0.54	0.165	0.595	0.686	-0.3901875	-0.076	0.144	-0.206
25978	0.4405	0.197071429	0.096928571	0.0405	0.1305	0.8205	0.5505	0.6205	0.4605	0.4005	-0.368928571	-0.0195	-0.1765	1.1145
25979	-0.4595	0.1215	0.3535	-0.1715	-0.3315	-0.0085	0.0365	0.1345	0.4215	-0.2175	0.2845	-0.3725	-0.3545	0.5545
25980	-0.4805	0.1585	0.1405	1.1385	0.5255	-0.3535	-0.0965	0.0745	-0.4155	-0.1235	-0.2195	0.0835	-0.0155	0.2755
25981	-0.3155	-0.0605	-0.0975	0.239357143	-0.1125	-1.8065	-0.3845	0.1625	-0.0965	-0.0555	0.0695	0.1575	-0.0715	0.5815
25983	0.052	0.032	-0.138	0.09	0.268	-0.17	-0.316	-0.453	-0.308	-0.077	-0.219	-0.037	0.116	-0.292
25984	4.137	4.317	4.698	5.784	3.484	3.484	0.004	-4.336	2.194	2.614	-3.44	-0.906	-5.127	-3.456
25987	0.65425	0.4935	0.68575	1.5765	1.4125	1.1505	0.6995	0.7945	1.7615	1.3415	0.4015	1.9275	0.4875	1.2235
25988	0.8135	0.0385	0.1715	0.9415	0.5625	0.3735	-0.2285	-0.3865	-0.0165	0.1755	0.1515	-0.4195	-0.3015	0.1085
25989	0.466	-0.337	-0.101	-0.655	-0.435	-0.235	-0.335	-0.185	-0.385	-0.285	-0.329	-0.635	-0.549	0.649
25994	0.542	-0.412285714	-0.426	-2.374	-0.302	1.514	0.895	0.199	0.854	0.797	-0.752142857	0.748	-0.044	-0.352
25996	1.7955	1.5255	1.5475	0.9075	1.0615	1.5155	0.7965	1.6475	1.7775	1.5515	0.9265	1.6395	1.2445	1.0435
25999	0.311	0.899	0.812	1.842	0.955	1.457	2.171	1.971	0.874	2.059	1.826	1.025	1.222	2.375
26	-0.72175	0.2375	0.17	0.5575	-0.7165	-0.7475	-0.6055	-0.5065	-0.1375	-0.9855	0.53025	-0.7455	-0.5275	-0.2545
26000	-0.1125	0.1455	0.2865	0.7495	0.1545	-0.2465	-0.1895	-0.6385	-0.4785	-0.5155	0.0105	0.1075	0.0085	-0.4215
26001	0.254333333	-0.068666667	-0.047166667	0.447	-0.161	0.115	-0.24	-0.184	-0.409	-0.114	0.720833333	-0.445	-0.105	0.03
26002	-0.6445	0.1755	0.5605	0.0335	0.3155	-0.5205	0.9865	-1.5265	-0.2275	-0.7985	0.5645	0.2225	-0.6675	0.3575
26003	0.36	0.552	0.229	-0.113	0.198	0.442	0.158	0.302	0.132	0.551	-0.847	0.157	0.038	0.272
26005	0.0735	-0.0665	-0.0275	0.3615	-0.5155	-1.0475	-0.9565	-0.5575	-0.7735	-0.9655	-1.0805	-0.5775	-0.5605	-0.1155
26007	-0.0075	-0.013875	0.059875	-0.1015	-0.5075	-0.8225	-0.7985	-0.5825	-0.8545	-1.0365	0.300375	-0.4045	-0.3995	0.1415
